class,DatasetRef,License,Link,ObjectMaskPath,RealDataPath,subset_tag,dataGTPath,dataPath,AR
Microscopy,BBBC038,CC0,https://data.broadinstitute.org/bbbc/BBBC038/stage1_train.zip,BBBC038/58406ed8ef944831c413c3424dc2b07e59aef13eb1ff16acbb3402b38b5de0bd/masks/joined_masks/masks.png,BBBC038/58406ed8ef944831c413c3424dc2b07e59aef13eb1ff16acbb3402b38b5de0bd/images/58406ed8ef944831c413c3424dc2b07e59aef13eb1ff16acbb3402b38b5de0bd.png,gray,srcDataset/00001_gt.png,srcDataset/00001.png,1.0
Microscopy,BBBC038,CC0,https://data.broadinstitute.org/bbbc/BBBC038/stage1_train.zip,BBBC038/b82548ab19466b461614e6055aaf49fbc24c03a2d20e65575b680c7c28268807/masks/joined_masks/masks.png,BBBC038/b82548ab19466b461614e6055aaf49fbc24c03a2d20e65575b680c7c28268807/images/b82548ab19466b461614e6055aaf49fbc24c03a2d20e65575b680c7c28268807.png,gray,srcDataset/00002_gt.png,srcDataset/00002.png,1.0
Microscopy,BBBC038,CC0,https://data.broadinstitute.org/bbbc/BBBC038/stage1_train.zip,BBBC038/dabfee30b46d23569c63fa7253ef10b2407fbe8023035a5030252313cb718097/masks/joined_masks/masks.png,BBBC038/dabfee30b46d23569c63fa7253ef10b2407fbe8023035a5030252313cb718097/images/dabfee30b46d23569c63fa7253ef10b2407fbe8023035a5030252313cb718097.png,gray,srcDataset/00003_gt.png,srcDataset/00003.png,1.0
Microscopy,BBBC038,CC0,https://data.broadinstitute.org/bbbc/BBBC038/stage1_train.zip,BBBC038/f113626a04125d97b27f21b45a0ce9a686d73dee7b5dbc0725d49194ba0203bd/masks/joined_masks/masks.png,BBBC038/f113626a04125d97b27f21b45a0ce9a686d73dee7b5dbc0725d49194ba0203bd/images/f113626a04125d97b27f21b45a0ce9a686d73dee7b5dbc0725d49194ba0203bd.png,gray,srcDataset/00004_gt.png,srcDataset/00004.png,1.0
Microscopy,BBBC038,CC0,https://data.broadinstitute.org/bbbc/BBBC038/stage1_train.zip,BBBC038/ad9d305cbf193d4250743ead466bdaefe910835d7e352c544e22320e8336f5c1/masks/joined_masks/masks.png,BBBC038/ad9d305cbf193d4250743ead466bdaefe910835d7e352c544e22320e8336f5c1/images/ad9d305cbf193d4250743ead466bdaefe910835d7e352c544e22320e8336f5c1.png,gray,srcDataset/00005_gt.png,srcDataset/00005.png,0.8
Microscopy,BBBC038,CC0,https://data.broadinstitute.org/bbbc/BBBC038/stage1_train.zip,BBBC038/e321cfa987e77c21373a0f8b1236c83d6636306949a82a7f5b07fc0838e7777f/masks/joined_masks/masks.png,BBBC038/e321cfa987e77c21373a0f8b1236c83d6636306949a82a7f5b07fc0838e7777f/images/e321cfa987e77c21373a0f8b1236c83d6636306949a82a7f5b07fc0838e7777f.png,gray,srcDataset/00006_gt.png,srcDataset/00006.png,1.0
Microscopy,BBBC038,CC0,https://data.broadinstitute.org/bbbc/BBBC038/stage1_train.zip,BBBC038/fe80a2cf3c93dafad8c364fdd1646b0ba4db056cdb7bdb81474f957064812bba/masks/joined_masks/masks.png,BBBC038/fe80a2cf3c93dafad8c364fdd1646b0ba4db056cdb7bdb81474f957064812bba/images/fe80a2cf3c93dafad8c364fdd1646b0ba4db056cdb7bdb81474f957064812bba.png,gray,srcDataset/00007_gt.png,srcDataset/00007.png,0.7471264367816092
Microscopy,BBBC038,CC0,https://data.broadinstitute.org/bbbc/BBBC038/stage1_train.zip,BBBC038/d35f25c8e3f7fca5232fc4d5e3faf14b025b20b3731af77fe971a5e2e9d69d28/masks/joined_masks/masks.png,BBBC038/d35f25c8e3f7fca5232fc4d5e3faf14b025b20b3731af77fe971a5e2e9d69d28/images/d35f25c8e3f7fca5232fc4d5e3faf14b025b20b3731af77fe971a5e2e9d69d28.png,gray,srcDataset/00008_gt.png,srcDataset/00008.png,1.0
Microscopy,BBBC038,CC0,https://data.broadinstitute.org/bbbc/BBBC038/stage1_train.zip,BBBC038/136000dc18fa6def2d6c98d4d0b2084d13c22eaffe82e26c665bcaa2a9e51261/masks/joined_masks/masks.png,BBBC038/136000dc18fa6def2d6c98d4d0b2084d13c22eaffe82e26c665bcaa2a9e51261/images/136000dc18fa6def2d6c98d4d0b2084d13c22eaffe82e26c665bcaa2a9e51261.png,color,srcDataset/00009_gt.png,srcDataset/00009.png,0.8
Microscopy,BBBC038,CC0,https://data.broadinstitute.org/bbbc/BBBC038/stage1_train.zip,BBBC038/d910b2b1be8406caecfe31a503d412ffc4e3d488286242ebc7381836121dd4ef/masks/joined_masks/masks.png,BBBC038/d910b2b1be8406caecfe31a503d412ffc4e3d488286242ebc7381836121dd4ef/images/d910b2b1be8406caecfe31a503d412ffc4e3d488286242ebc7381836121dd4ef.png,gray,srcDataset/00010_gt.png,srcDataset/00010.png,1.0
Microscopy,BBBC038,CC0,https://data.broadinstitute.org/bbbc/BBBC038/stage1_train.zip,BBBC038/a0afead3b4fe393f6a6159de040ecb2e66f8a89090abf0d0bf5b8e1d38ae667c/masks/joined_masks/masks.png,BBBC038/a0afead3b4fe393f6a6159de040ecb2e66f8a89090abf0d0bf5b8e1d38ae667c/images/a0afead3b4fe393f6a6159de040ecb2e66f8a89090abf0d0bf5b8e1d38ae667c.png,gray,srcDataset/00011_gt.png,srcDataset/00011.png,1.0
Microscopy,BBBC038,CC0,https://data.broadinstitute.org/bbbc/BBBC038/stage1_train.zip,BBBC038/0bf33d3db4282d918ec3da7112d0bf0427d4eafe74b3ee0bb419770eefe8d7d6/masks/joined_masks/masks.png,BBBC038/0bf33d3db4282d918ec3da7112d0bf0427d4eafe74b3ee0bb419770eefe8d7d6/images/0bf33d3db4282d918ec3da7112d0bf0427d4eafe74b3ee0bb419770eefe8d7d6.png,color,srcDataset/00012_gt.png,srcDataset/00012.png,0.8
Microscopy,BBBC038,CC0,https://data.broadinstitute.org/bbbc/BBBC038/stage1_train.zip,BBBC038/bbfc4aab5645637680fa0ef00925eea733b93099f1944c0aea09b78af1d4eef2/masks/joined_masks/masks.png,BBBC038/bbfc4aab5645637680fa0ef00925eea733b93099f1944c0aea09b78af1d4eef2/images/bbfc4aab5645637680fa0ef00925eea733b93099f1944c0aea09b78af1d4eef2.png,gray,srcDataset/00013_gt.png,srcDataset/00013.png,0.7471264367816092
Microscopy,BBBC038,CC0,https://data.broadinstitute.org/bbbc/BBBC038/stage1_train.zip,BBBC038/10328b822b836e67b547b4144e0b7eb43747c114ce4cacd8b540648892945b00/masks/joined_masks/masks.png,BBBC038/10328b822b836e67b547b4144e0b7eb43747c114ce4cacd8b540648892945b00/images/10328b822b836e67b547b4144e0b7eb43747c114ce4cacd8b540648892945b00.png,gray,srcDataset/00014_gt.png,srcDataset/00014.png,1.0
Microscopy,BBBC038,CC0,https://data.broadinstitute.org/bbbc/BBBC038/stage1_train.zip,BBBC038/01d44a26f6680c42ba94c9bc6339228579a95d0e2695b149b7cc0c9592b21baf/masks/joined_masks/masks.png,BBBC038/01d44a26f6680c42ba94c9bc6339228579a95d0e2695b149b7cc0c9592b21baf/images/01d44a26f6680c42ba94c9bc6339228579a95d0e2695b149b7cc0c9592b21baf.png,color,srcDataset/00015_gt.png,srcDataset/00015.png,0.8
